,mean,sd,q5,q95
Medicham,0.02349721780608828,0.2157037820727868,-0.32677835685379264,0.3829405233861862
Chesnaught,0.023250890594916248,0.19589747186255901,-0.30665699195211626,0.32905044115708915
Meganium,0.022894759092007538,0.12825075975947212,-0.17934953569809783,0.23049000348235882
Farigiraf,0.022829914533319312,0.05784109314985661,-0.07255805644754512,0.1183346608806388
Alcremie,0.02275772739531975,0.20726514995281292,-0.3078925456545291,0.35571750102108096
Staraptor,0.021644167537022606,0.06019663913366276,-0.07310878476583182,0.12087737616995076
Falinks,0.02163544520540894,0.2033230736675394,-0.3085127924586089,0.3321865596969549
Aggron,0.021283801889483547,0.18351997357888883,-0.2828149757976201,0.31747437324974914
Aegislash,0.020161933091944986,0.15701329619609675,-0.24496262791039125,0.27474608825486185
Weavile,0.019954939758813416,0.1640237254341886,-0.25668528046661276,0.291615537909204
Altaria,0.019071871156138683,0.1707567345292594,-0.2719048946893633,0.2977099736759169
Hisuian Decidueye,0.01787832785478848,0.19246271843888002,-0.2882143264654132,0.34366469007382106
Gigantamax Grimmsnarl,0.013810210751880572,0.2275016108719668,-0.35791480279108695,0.38747207440216913
Mamoswine,0.010660422123416906,0.10369211972690627,-0.15955548775561046,0.18041740569555287
Dragonite,0.009782972071284203,0.08124355116958698,-0.12425274123732877,0.14047923354785935
Alolan Raichu,0.008924016147517446,0.23395846751464525,-0.36696535536339786,0.3835279229942704
Stunfisk,0.008679254240312396,0.2362372291435181,-0.39344330592163307,0.3847526702604259
Pidgeot,0.008622572015864409,0.2451426312085024,-0.4003747975153989,0.40750703925389703
Garbodor,0.00820887264227477,0.2338605846032706,-0.3960895906570079,0.3742903566715986
Pangoro,0.00804695849564885,0.2186496663815267,-0.3337219129161395,0.3793546053662345
Corviknight,0.005902381572003737,0.10299660574085266,-0.16235821126085953,0.17907539277009676
Mudsdale,0.005242518726715659,0.22046672681777188,-0.36471332348101804,0.36662447654691305
Lycanroc Midnight,0.003825773078309613,0.2436712141690434,-0.3948587131787297,0.41528857672282304
Hisuian Arcanine,0.002519512851900397,0.12796716063024904,-0.20539794749919443,0.22234417844971432
Delphox,0.002292234748785585,0.0729363647154463,-0.12102337076697944,0.12267378755080438
Appletun,0.00222369830903933,0.1970507230217739,-0.32509345336023293,0.3304976955378283
Camerupt,0.0018626302031547776,0.14909556816009115,-0.2394443664322682,0.24324172332218533
Espeon,0.001365948145763284,0.23427142704210754,-0.40711966668728344,0.3918959908225064
Hisuian Avalugg,0.0012440971517278473,0.23822136794611448,-0.3854521386356703,0.3963030466782904
Aromatisse,0.0011607313817244141,0.2066023523041869,-0.3313130381237824,0.3452452733030689
Samurott,0.0006765434878520879,0.2491378583455322,-0.3956909084342605,0.39144012811073947
Morpeko,0.0002711084794593957,0.1999102839448031,-0.32541759795002817,0.32164350209356174
Ditto,5.674212493883557e-07,0.18010762158734253,-0.29943425883177555,0.29417829295768644
Roserade,-0.0009873564819884956,0.23469912488339764,-0.37316472753481333,0.3815850129572915
Diggersby,-0.0019460000937709255,0.23846429280153877,-0.3984677037033488,0.3858386604520882
Dragapult,-0.0022775048257120197,0.1483430932155993,-0.2523237995375924,0.2353038529482155
Scizor,-0.0024119747467130797,0.13012801438775823,-0.22419006891751433,0.20159604687689178
Audino,-0.0026354992192168447,0.2292738240167713,-0.35669876713194376,0.37448357358450096
Beartic,-0.004411757668849669,0.22522921224977674,-0.3676163435129508,0.37280344801103243
Meowstic ♀,-0.004806168552642079,0.23807365373721748,-0.3883374364467028,0.38905261248562906
Paldean Tauros,-0.005334152448433599,0.23355055660374657,-0.39893828639885437,0.3717040758526492
Glimmora,-0.006135892165220864,0.10973209078240866,-0.19464766675773043,0.16717862222076946
Paldean Tauros Blaze Breed,-0.006460279675123166,0.23522103137385544,-0.4000166730842684,0.3712465798245273
Liepard,-0.006779135745647111,0.2234119596937477,-0.36680853189492946,0.36265046419605723
Mow Rotom,-0.010532586504130295,0.1831224640036989,-0.31305786315676715,0.29136059948976506
Meowscarada,-0.012431592145509072,0.12566221060750768,-0.21419856062225534,0.18775902946329054
Overqwil,-0.013504151940470513,0.16819210024668846,-0.2909810791445602,0.2666080279569103
Sceptile,-0.013644375960532903,0.1100384166070913,-0.19912781507864716,0.1758314391981726
Sneasel,-0.015065124867581891,0.24526487757241452,-0.43028827794749874,0.37407318955423297
Sandaconda,-0.015452788604583916,0.23839732229901947,-0.40272218744160676,0.3830203500347338
Grimmsnarl,-0.015623039594658246,0.06604117483917514,-0.12237334709100806,0.08757114588159522
Goodra,-0.01609161638162041,0.2481421470361316,-0.42116940262189684,0.3903821505224759
Luxray,-0.01686601518164158,0.23004774287267116,-0.405713333740686,0.35219839915499196
Greninja,-0.01793318091769409,0.17086036892052403,-0.2978930674863335,0.2599631120104251
Heat Rotom,-0.019176955742444157,0.11258908865249759,-0.20421174371655632,0.16361628733026518
Chimecho,-0.020022845192593532,0.23096892000309205,-0.4117654829226959,0.3554635990412616
Sneasler,-0.02263269072030018,0.04979090351899237,-0.10689391992342066,0.05600602101849449
Reuniclus,-0.02270758513800749,0.21662929014294036,-0.3584757576918277,0.33008933001441587
Typhlosion,-0.02392448071838553,0.20963419243466502,-0.338413994140634,0.32006363299936036
Passimian,-0.02454839309473262,0.2526582525569006,-0.4463156409025292,0.40964358557178576
Orthworm,-0.02483872058526382,0.20860925655244777,-0.37094543294021826,0.32636250900011954
Oranguru,-0.02653242203957479,0.14873490808271986,-0.2732024079300254,0.22151691964226025
Kleavor,-0.02760934116418741,0.19984048245799962,-0.3538403541645483,0.29376180165261656
Slurpuff,-0.029131734334889955,0.22805412751974485,-0.38875653000257976,0.3539071876615702
Rhyperior,-0.030227599186481255,0.22014182427622642,-0.37822426825082994,0.3350550225072342
Dedenne,-0.03132777692822139,0.22640350884487306,-0.41417260523919686,0.3427893329980852
Hisuian Zoroark,-0.031696798941311034,0.13972639646247195,-0.2670161039298253,0.2026570181636827
Tyranitar,-0.03228785247834426,0.07600427712048297,-0.15469450346368724,0.09263073820835113
Bastiodon,-0.03307675363410904,0.2380615949416144,-0.4201062613725069,0.3710896212142009
Gourgeist,-0.033228349386477916,0.24157642476717814,-0.4278186256405313,0.36239901087216186
Fan Rotom,-0.03502053240940077,0.2408770686250944,-0.43387771363322447,0.36775536482831805
Rotom,-0.03626433497509346,0.19004026535263896,-0.3542946434268826,0.27756091632324703
Musharna,-0.03759981702205899,0.23170647257947596,-0.39617007385377667,0.3456535765759551
Heracross,-0.03829130849600189,0.22486760435615843,-0.3876476005279723,0.3659471274642017
Sinistcha,-0.038538730068458024,0.0582092078976948,-0.13217221335532095,0.06117580061937687
Clawitzer,-0.04102695568231662,0.1959204962889031,-0.35959713023413126,0.2808395739789923
Polteageist,-0.04129124821021724,0.23256844430801435,-0.44195011904606685,0.34487605341093214
Flapple,-0.041325627797793404,0.23768590881464846,-0.4270981258547355,0.33165804153839135
Slowbro,-0.04156656621784137,0.20729878562829318,-0.38912195715225845,0.2973051196076993
