species_1,species_2,n,mean,q5,q95,robust
Kangaskhan,Kommo-o,11,0.017769606417506925,-0.07925415421693488,0.11792472991176282,False
Hisuian Decidueye,Mawile,11,0.017753420916672796,-0.0728399674830783,0.12127307947359293,False
Chandelure,Milotic,7,0.01773070057804647,-0.07443204874218583,0.12129505220823535,False
Froslass,Gholdengo,23,0.017673615479052697,-0.0815993340882863,0.12598175637342393,False
Basculegion,Hydreigon,85,0.01766350626328337,-0.04970894969851904,0.0918850236209003,False
Gengar,Venusaur,5,0.017654152840211802,-0.06843593675093991,0.11130815309485395,False
Staraptor,Toxapex,18,0.01760017531312066,-0.0532452734007277,0.099393416535495,False
Farigiraf,Garchomp,562,0.017568517416247913,-0.048438963744326685,0.0845467939195862,False
Meganium,Sableye,16,0.01750606586233172,-0.07470635852717201,0.12293174339569718,False
Basculegion,Mawile,144,0.017488085925047914,-0.04506527699180705,0.08769456096977082,False
Aerodactyl,Whimsicott,35,0.017435546128593566,-0.051305937028695854,0.09193374676871306,False
Farigiraf,Mamoswine,40,0.017411853628995718,-0.07525931117877396,0.11370389418851733,False
Hisuian Arcanine,Whimsicott,31,0.01739328825357593,-0.05762249358770465,0.10167814140774421,False
Camerupt,Torkoal,7,0.017382387650853866,-0.0694869587076813,0.1142129686972124,False
Mawile,Vileplume,69,0.01735798114066741,-0.06768867993213058,0.11081285806924439,False
Grimmsnarl,Hydreigon,135,0.017309507233345577,-0.07495390071488377,0.1174835426869928,False
Kommo-o,Pelipper,6,0.01730170287127646,-0.07493001354066466,0.12023099633351544,False
Froslass,Toxapex,7,0.017291021154444246,-0.07148951113532653,0.11935109592018198,False
Gholdengo,Grimmsnarl,156,0.017263738091243673,-0.07216221899852276,0.11487167354840545,False
Swampert,Venusaur,141,0.017209296329505276,-0.04822190698604601,0.08992093605235052,False
Basculegion,Torkoal,122,0.017136535898490797,-0.04187129098800341,0.08709852115708375,False
Hawlucha,Politoed,7,0.017098242608624442,-0.0844182803878427,0.1266396148717621,False
Primarina,Scovillain,9,0.017067634103917276,-0.07845066114860622,0.12406196132045112,False
Kangaskhan,Torkoal,143,0.017043908669364182,-0.06547125548055148,0.10222354506877271,False
Houndstone,Hydreigon,17,0.017015780795406252,-0.08071789218968509,0.12756916025595633,False
Ampharos,Mawile,11,0.0169550184376504,-0.07454312079804148,0.11939695982107204,False
Sableye,Tyranitar,6,0.016940525497394224,-0.08465373499526399,0.1299053877354402,False
Basculegion,Venusaur,159,0.01688449464412278,-0.03450548823774478,0.08073503082222853,False
Pikachu,Sylveon,5,0.016868984269888875,-0.07322334115967423,0.10661749763108304,False
Azumarill,Delphox,11,0.01686523462918531,-0.07499814528668985,0.12889291441213444,False
Dragalge,Eelektross,6,0.016828986342920644,-0.08366984265811359,0.13338481426712026,False
Aerodactyl,Hisuian Typhlosion,8,0.016816760139302615,-0.06494825600944137,0.10748597481000523,False
Garchomp,Lucario,7,0.016793492353505753,-0.06428599564278424,0.10831822229233654,False
Garchomp,Tsareena,30,0.016733783713895806,-0.06284833524116311,0.10665996221280905,False
Pyroar,Staraptor,9,0.01673366046137276,-0.05692549781588736,0.1055505314845532,False
Gallade,Kangaskhan,25,0.016713291011425283,-0.07168960279499166,0.11186711772313448,False
Froslass,Lycanroc Dusk,82,0.016647468943248915,-0.062453032376460105,0.09951168610187826,False
Primarina,Raichu,10,0.01656282098423657,-0.06379281102916377,0.10844677719454883,False
Politoed,Snorlax,6,0.016509410554019447,-0.08961880190866056,0.13169484669968476,False
Clefable,Froslass,7,0.016484871919556686,-0.06655695969647005,0.10895365907857953,False
Aggron,Grimmsnarl,5,0.016409147893626134,-0.09288892208359917,0.13108997788227547,False
Azumarill,Garchomp,25,0.016388885148267217,-0.07644034088158963,0.11687171111902374,False
Basculegion,Kangaskhan,37,0.016359674934542406,-0.04983634572915887,0.09155767223031874,False
