,mean,sd,q5,q95
Reckless,-0.033413355514699955,0.17597218832905837,-0.320330537340879,0.25813048436140473
Refrigerate,-0.034840675772188155,0.2331686120712053,-0.4249839730038457,0.32137602362969664
Illuminate,-0.03501492616248421,0.20883475117504133,-0.355581190323381,0.31527531897504446
Sap Sipper,-0.03550743497957189,0.2248711916632372,-0.39271598562614257,0.33793546810953967
Stalwart,-0.03619307562755656,0.2084983565816509,-0.3906506860451689,0.2977294428964725
Inner Focus,-0.037227072656028225,0.09198631693061736,-0.18817932765435677,0.11633027312060946
Supersweet Syrup,-0.042207536649717416,0.21146030210004926,-0.38964421153180295,0.3013627761448835
Motor Drive,-0.0440244542169847,0.231244475372647,-0.41726123417197786,0.33673917946858106
Mirror Armor,-0.04814570934485498,0.10431289151288382,-0.21553295892137203,0.11958032548758012
Pickpocket,-0.04954678448782877,0.16825125005933186,-0.32174327259264557,0.21478939465380728
Sand Veil,-0.05105746546942747,0.13728926289298518,-0.2753977973301689,0.17085067358399078
Healer,-0.05390158693449129,0.1984868255405673,-0.3627933878100737,0.27309558883911894
Steadfast,-0.05611289657292396,0.22923158405189084,-0.41658401601343653,0.31917203729989924
Mega Launcher,-0.0561200602685849,0.17937793773422897,-0.34162648681919144,0.2319930981355929
Synchronize,-0.056581081261654856,0.1890171005002112,-0.37193061632696595,0.24808700034802678
Justified,-0.0584923854229989,0.21926302592794392,-0.41385329250023445,0.2942919242308836
Poison Point,-0.06447761111713976,0.21140013729573764,-0.39062184769305025,0.2893334158556759
Hospitality,-0.06523574745584865,0.061982548344095216,-0.16790959282131382,0.041066755587037304
Own Tempo,-0.06533467009230697,0.20682043139554313,-0.40387647438222957,0.27834032022132776
Magic Bounce,-0.06969026863556954,0.16069353287714883,-0.3207988563494478,0.18067853532956912
Infiltrator,-0.07014579756732328,0.168120913953623,-0.34021739765086795,0.20985633964361702
Sweet Veil,-0.07157004700250848,0.21968037954720349,-0.42669489990082377,0.28712573285257903
Effect Spore,-0.07315569961342822,0.23007603086493375,-0.45186992043977015,0.29522854680430505
Harvest,-0.07470396226475795,0.2305238309170448,-0.45419626305251154,0.32119617001040274
Oblivious,-0.07624371714130851,0.10546898464552174,-0.25414409267346744,0.08721553000812186
Multiscale,-0.07833412896613799,0.09009799695007358,-0.22314569139612514,0.06357445057802012
Wandering Spirit,-0.07934261452351915,0.21877765414575712,-0.4288450439441635,0.29640933135566483
Zero to Hero,-0.0804643911523539,0.16379152741359565,-0.3440805699997147,0.18215286529013966
Clear Body,-0.0827628038641949,0.058486356453508026,-0.17487086660155346,0.016071766008783666
Levitate,-0.08289040176485855,0.049330033820768275,-0.16678436632475954,-0.00405495656285068
Keen Eye,-0.0895837559801262,0.18106916115644753,-0.37686118042537353,0.21232790522672457
Lightning Rod,-0.09283088945032747,0.06554411113303261,-0.1984081613993802,0.014263000493059813
Sheer Force,-0.09879700256375998,0.1803340022831563,-0.39777003688394375,0.19537827804237656
Torrent,-0.12588764109165637,0.09032264918702416,-0.27105459422116135,0.02706672092678831
Pixilate,-0.13258552406074847,0.06842295082476081,-0.23921125605706806,-0.01873875655225447
Volt Absorb,-0.13337280524218792,0.20150736368936903,-0.46028463283279186,0.20103245312753096
Hyper Cutter,-0.13362611486258288,0.07373937057412529,-0.2583545064200039,-0.018770161615811336
Disguise,-0.13884652361990885,0.16721174988550297,-0.40419942342321574,0.14389969268257125
Overgrow,-0.14230815601946337,0.09739227730837315,-0.29929492351579323,0.021712305206082583
Soundproof,-0.14444654261725723,0.13773837954152382,-0.37386246261736616,0.07454481624534048
Mummy,-0.14630522705937773,0.21651083547833314,-0.49429537907003296,0.21801553793923098
Rock Head,-0.14835345547669176,0.12384008998837025,-0.35240070611927937,0.055460434592229456
Frisk,-0.1548590179656081,0.15697315587801083,-0.4098406627693237,0.08900921135273566
Protean,-0.1587514314452627,0.12013219666560923,-0.35402665567814845,0.03617230241288083
Prankster,-0.1616338577108445,0.04663442111459263,-0.23958404132761527,-0.08371287457005042
No Guard,-0.1649783553471898,0.13594192647196518,-0.3814191849155279,0.059897003986626556
Iron Fist,-0.18046381646506993,0.17865873450828437,-0.48324762072661936,0.10731826787005251
Supreme Overlord,-0.19196486669280768,0.14145003271303502,-0.4202164040308962,0.027481361291665365
Snow Cloak,-0.2564314736693173,0.11637112453784984,-0.4391543734659175,-0.06682448239087947
Swift Swim,-0.2814811247377175,0.09240836303231563,-0.4263240257364665,-0.12788369941360203
