,mean,sd,q5,q95
Poison Jab,0.053060550622314254,0.05853369402754545,-0.04505592842423531,0.14779430396471077
Clanging Scales,0.05030824928377371,0.12327647845249244,-0.15924042192119886,0.25883935147554193
Blaze Kick,0.04976010430587773,0.16887642724859675,-0.2264136951077642,0.33016952760292123
Bug Bite,0.048868771218464835,0.15140440517180795,-0.18940202525056182,0.29907942900345774
Cotton Guard,0.04883021398701222,0.19156621474843222,-0.26738765743421117,0.37228125019910957
Substitute,0.047300609314866675,0.11881300050004706,-0.15596121404247715,0.24754014722351197
Beak Blast,0.04610691311444371,0.22307825395589495,-0.34204146587238016,0.3960896976527558
Morning Sun,0.04570251062999226,0.22234795450087186,-0.31062984344945455,0.3985526084609392
Megahorn,0.045564196911354014,0.21589508487630013,-0.3040962598261687,0.3942566507932659
Torch Song,0.04529023151259883,0.18472441083420393,-0.2593589784591454,0.338877220782778
Dig,0.04315121521930232,0.22438764111111095,-0.3251046972344849,0.4236308260519635
Confuse Ray,0.041657672225767044,0.22215287940524675,-0.33503189158751545,0.40230592789259834
Safeguard,0.040636487795416516,0.21873295917101,-0.31286693420083045,0.37440139289827357
Amnesia,0.04042789884363057,0.20250621733004706,-0.2867876704979059,0.37047957270664705
Grass Knot,0.04023236628395248,0.0758429904847314,-0.08471645965430781,0.17571052047465
Clear Smog,0.03973573896561027,0.21473379538347456,-0.3075204460955863,0.384050842042696
Simple Beam,0.039329885028026326,0.22622662461035636,-0.34252402720183545,0.38584889966079117
Haze,0.038556399835686574,0.17590346830847675,-0.2476983819399219,0.33228003453863714
Overheat,0.03853211873000629,0.05431576606901775,-0.05165970901382685,0.12565277102213457
Decorate,0.03841283155462319,0.19855774150894948,-0.29090390191629234,0.36033113150302426
Transform,0.03830972823396192,0.1707935160431951,-0.23725504944921805,0.3225068982153775
Helping Hand,0.03686427007593376,0.04500426341625016,-0.03669745882480373,0.11089470817496802
Imprison,0.03649017664580829,0.0916405553767026,-0.10939513472633053,0.18561963874896278
Hyper Voice,0.03647782361212579,0.0535968868402297,-0.051213142839877254,0.12479492629590772
Acrobatics,0.03640083506839954,0.1467008941631738,-0.22073050061866795,0.26292715260478955
Misty Terrain,0.035891245544693536,0.2166694114291615,-0.3069842990203739,0.3901048631758999
Wild Charge,0.035617168891185644,0.1848595648562794,-0.2644238460861483,0.341310972987507
Iron Defense,0.0355791929962209,0.13441345551506656,-0.1752535176673546,0.2575141315581032
After You,0.03458072154504609,0.10861805747892007,-0.15218046265549526,0.21080370656591252
Coaching,0.034387313898494906,0.07700149204878688,-0.09308706064636499,0.15100456822392402
Rock Blast,0.03368282726783269,0.19534724919201812,-0.2924489674981989,0.3520470201751418
Double-Edge,0.03312408697185462,0.10556978984339509,-0.13799889592557513,0.20868575801369535
Hydro Cannon,0.03292360913669167,0.20386895060868188,-0.3080772444157747,0.3715257644671991
Psyshock,0.03272643980299279,0.07045877489268795,-0.07750939838215927,0.1448861466661306
Dual Wingbeat,0.031200154083939627,0.061290211167260515,-0.06886221943245253,0.1321311389400413
Mega Kick,0.03104489786671809,0.22939432134480345,-0.32285561825502385,0.41902267291465783
Shelter,0.03041429853346836,0.21572031029635552,-0.3245588367455201,0.42094124226492996
Frenzy Plant,0.02944173542882731,0.2258140450145782,-0.36143570616887566,0.40237151725084375
Role Play,0.027477182889000532,0.2136061686382203,-0.3251874095500689,0.3821320002950995
Metal Sound,0.02690555991555224,0.22520044294866512,-0.3474833988005194,0.39437930455786135
Slack Off,0.02646727622309153,0.18782450020316566,-0.27758764739841274,0.3228088638317251
Sunny Day,0.02610888216089826,0.07168834141521689,-0.0959251867851546,0.143275751964526
Breaking Swipe,0.02599413254182303,0.1603175068423226,-0.24224675317119065,0.29031142923611614
Shell Side Arm,0.02579944121734263,0.21940846703517436,-0.3162823360599954,0.39727745670881337
Circle Throw,0.0255579996803695,0.22046600052128346,-0.33476629167939037,0.39072153407835125
Trick Room,0.02538105732050217,0.039776655061606096,-0.037964440413440236,0.09088089539163748
Dragon Claw,0.02506143831256554,0.05869210490931684,-0.06763713062906875,0.12414764067519383
Temper Flare,0.024715355957059072,0.17564451329020397,-0.2579270702368029,0.30877349172106955
Throat Chop,0.024159146591942845,0.05235202043873265,-0.06252421353128489,0.11296315644410512
Instruct,0.02379765264752459,0.1564702261303238,-0.24035750940026362,0.27929421410776856
Flying Press,0.023597517186733433,0.21972667220746006,-0.33424714414372914,0.37949140386420216
Flower Trick,0.02278991373466204,0.1304924972283036,-0.1817104715757565,0.23587234241967847
Self-Destruct,0.022027496591144308,0.20590580578832648,-0.30743704539595734,0.37048901766338194
Hail,0.021576924193273242,0.22408176176820527,-0.3370681625996573,0.39766498271068046
Thief,0.021143608022879245,0.2331784587419748,-0.3755898275693266,0.4031442930418897
Charge,0.02113328263378,0.22885308134160234,-0.3569537523709047,0.423801886134502
Fly,0.021036031718833545,0.2152100756150722,-0.3459833698583565,0.36970968156951034
Spikes,0.020136269439631715,0.21798107121898208,-0.3532172075161514,0.3869320632318575
Swagger,0.019729168218140695,0.1764737597734282,-0.2640718995742454,0.3196789272736957
Iron Tail,0.01865394566770898,0.2134444474733765,-0.3277113797204129,0.36559358787837454
